org_id, dup_id
rec-151-org, rec-151-dup-0
rec-8942-org, rec-8942-dup-0
rec-6737-org, rec-6737-dup-0
rec-3505-org, rec-3505-dup-0
rec-6171-org, rec-6171-dup-0
rec-2217-org, rec-2217-dup-0
rec-7400-org, rec-7400-dup-0
rec-4357-org, rec-4357-dup-0
rec-7045-org, rec-7045-dup-0
rec-7593-org, rec-7593-dup-0
rec-1416-org, rec-1416-dup-0
rec-7661-org, rec-7661-dup-0
rec-8375-org, rec-8375-dup-0
rec-374-org, rec-374-dup-0
rec-5322-org, rec-5322-dup-0
rec-5246-org, rec-5246-dup-0
rec-5397-org, rec-5397-dup-0
rec-98-org, rec-98-dup-0
rec-2028-org, rec-2028-dup-0
rec-4749-org, rec-4749-dup-0
rec-2288-org, rec-2288-dup-0
rec-3857-org, rec-3857-dup-0
rec-2664-org, rec-2664-dup-0
rec-1946-org, rec-1946-dup-0
rec-6090-org, rec-6090-dup-0
rec-2614-org, rec-2614-dup-0
rec-1422-org, rec-1422-dup-0
rec-8932-org, rec-8932-dup-0
rec-752-org, rec-752-dup-0
rec-3489-org, rec-3489-dup-0
rec-8685-org, rec-8685-dup-0
rec-8043-org, rec-8043-dup-0
rec-6513-org, rec-6513-dup-0
rec-601-org, rec-601-dup-0
rec-7070-org, rec-7070-dup-0
rec-5370-org, rec-5370-dup-0
rec-6682-org, rec-6682-dup-0
rec-7725-org, rec-7725-dup-0
rec-7275-org, rec-7275-dup-0
rec-7699-org, rec-7699-dup-0
rec-6130-org, rec-6130-dup-0
rec-7600-org, rec-7600-dup-0
rec-8664-org, rec-8664-dup-0
rec-8571-org, rec-8571-dup-0
rec-4240-org, rec-4240-dup-0
rec-5307-org, rec-5307-dup-0
rec-7472-org, rec-7472-dup-0
rec-1653-org, rec-1653-dup-0
rec-902-org, rec-902-dup-0
rec-5967-org, rec-5967-dup-0
rec-3551-org, rec-3551-dup-0
rec-63-org, rec-63-dup-0
rec-8070-org, rec-8070-dup-0
rec-6870-org, rec-6870-dup-0
rec-8337-org, rec-8337-dup-0
rec-2057-org, rec-2057-dup-0
rec-877-org, rec-877-dup-0
rec-4539-org, rec-4539-dup-0
rec-1323-org, rec-1323-dup-0
rec-1338-org, rec-1338-dup-0
rec-825-org, rec-825-dup-0
rec-4779-org, rec-4779-dup-0
rec-981-org, rec-981-dup-0
rec-5694-org, rec-5694-dup-0
rec-196-org, rec-196-dup-0
rec-4018-org, rec-4018-dup-0
rec-3777-org, rec-3777-dup-0
rec-3031-org, rec-3031-dup-0
rec-5315-org, rec-5315-dup-0
rec-7345-org, rec-7345-dup-0
rec-5449-org, rec-5449-dup-0
rec-1950-org, rec-1950-dup-0
rec-2302-org, rec-2302-dup-0
rec-4300-org, rec-4300-dup-0
rec-7824-org, rec-7824-dup-0
rec-5217-org, rec-5217-dup-0
rec-2343-org, rec-2343-dup-0
rec-860-org, rec-860-dup-0
rec-530-org, rec-530-dup-0
rec-1016-org, rec-1016-dup-0
